id;judul;deskripsi;user_id;rating
54;Dimensi Kepemimpinan Dalam Manajemen;Dimensi Kepemimpinan Dalam Manajemen;0;0
55;Gaya Kepemimpinan (Pendekatan Bakat Situasional);,r?\lu. *€ kal Iruj GAYA KEPEMIMPINAN (Pendekatan Bakat Sitl asional ) o [ $rrr! / D .{ 3.s-< Telah disahkan penggunaannya sebagai buku bacaan di sekolah dengan Keputusan Direktur Jenderai Pendidikan Dasar dan Menengah, Departemen Pendidikan dan Kebudayaan Nomor : Ol9alClKePlRlST Tanggal : 7 Februari 1987 gl to? { 6E8 fo 1 2 GAYA tcPEtvtMpirunr.r ( Pendekatan Bakat Situasional ) R.Achmad Rustandi,S.H Cetakan Kedua rD TilTUSIATAAN atlLo^t ARM 1987 Cetakan Pertama, Juli 1985 Cetakan Kedua, Desember 1987 1004 1940 4 t. I PRAKATA Dalam pembangunan yang saat ini tengah giat dilaksana- I kan, tefoologi Barat tidak bisa dihindari. Untuk menyerap, mengalihkan dan menerapkannya secara tepat diperlukan ber- bagai keahlian dan pengetahuan antara lain yang bersangkutan dengan kepemimpinan. Sayang, hingga saat ini belum banyak diterbitkan buku-buku tentang kbpemimpinan. Kenyataan itulah yang mendorong penulis untuk menyusun buku yang berjudul Gaya Kepemimpinan ini. Hampir sepenuh buku ini membahas ;1639;5
55;Gaya Kepemimpinan (Pendekatan Bakat Situasional);,r?\lu. *€ kal Iruj GAYA KEPEMIMPINAN (Pendekatan Bakat Sitl asional ) o [ $rrr! / D .{ 3.s-< Telah disahkan penggunaannya sebagai buku bacaan di sekolah dengan Keputusan Direktur Jenderai Pendidikan Dasar dan Menengah, Departemen Pendidikan dan Kebudayaan Nomor : Ol9alClKePlRlST Tanggal : 7 Februari 1987 gl to? { 6E8 fo 1 2 GAYA tcPEtvtMpirunr.r ( Pendekatan Bakat Situasional ) R.Achmad Rustandi,S.H Cetakan Kedua rD TilTUSIATAAN atlLo^t ARM 1987 Cetakan Pertama, Juli 1985 Cetakan Kedua, Desember 1987 1004 1940 4 t. I PRAKATA Dalam pembangunan yang saat ini tengah giat dilaksana- I kan, tefoologi Barat tidak bisa dihindari. Untuk menyerap, mengalihkan dan menerapkannya secara tepat diperlukan ber- bagai keahlian dan pengetahuan antara lain yang bersangkutan dengan kepemimpinan. Sayang, hingga saat ini belum banyak diterbitkan buku-buku tentang kbpemimpinan. Kenyataan itulah yang mendorong penulis untuk menyusun buku yang berjudul Gaya Kepemimpinan ini. Hampir sepenuh buku ini membahas ;2080;5
56;Ideaship Kepemimpinan Gaya Baru yang Meledakkan Kreativitas di Lingkungan Kerja; IDEASHIP Kepemimpenan Gaga 6aru gqrg Mel2dak|qn KreaLivi-t as dL 20071301 153 Josk Fos r F0{ Ilustrosioteh Lorry Corby w Meleii*on Potensi Dri ., .D. IDEASHIP: KEPEMIMPINAN GAYA BARU YANG MELEDAKKAN KBEATIVITAS DI LINGKUNGAN ,.. ./ .:!!: KERJA ::,i. .1i... diterjeBahlan dai ldedohip: How ta get i.dcas flowing in yout uorhPla.e karya Jack Foster terbitan Belrett-Koehler Publishers, Iuc., San Francisco, CA 94104 2916, 2001 Penerjemah: Anies Laetiati Proofreader: Ela Karmila ,Tra!€LatioD rights o 2005 by Kaifa CoprigLt @ 2001 by Jack Foster First publiehed by Berrett-Koehler Publishers, Inc., San Francisco, Cd USA.A.ll rights reservetll Cetakan I, Juni 2005 Diterbitkan oleh Penerbit Kai-fa PT Mizan Pustaka Anggota IKAPI Jln. Yotlkali No.16, Bandung 40124 Telp. (022) 7200931 - Fals. (o22) 1207038 e-mai]: kaifa@mizan.com http: //www.Eizan.coa Desain sampul: Ade Fery Riantara Ilustrasi isi: Larry Corby Perpustakaan Nasional: Katalog Dalam Terbitan (KDT) Foster, Jsck Ideaship: kepeEiopinan g;1900;4
57;Implementasi Kepemimpinan Lapangan Yang Partisipasif Guna Mewujudkan Prajurit Yang Hebat Dan Profesional;Implementasi Kepemimpinan Lapangan Yang Partisipasif Guna Mewujudkan Prajurit Yang Hebat Dan Profesional;0;0
58;100 Tokoh yang Mengubah Indonesia;ABDULHARIS NASUTION (Jenderal Besar, Konseptor Perang Gerilya dan Dwifungsi ABRI) UTentara yang tidak mendapat dukungan rakyat pasti kalah. Jenderal Besar A.H. Nasution adalah sosok yang tak mungkin dilupakan oleh bangsa ini. Tokoh ini bisa tampil tegar, misalnya dalam mengambil sikap ketika kekuatan komunis Il1.erajalela, tetapi Pak Nas juga bisa menitikkan air mata ketika melepas jenazah tujuh Pahlawan Revolusi di awal Oktober 1965. Pak Nas dikenal sebagai penggagas Dwifungsi ABRL Konsep yang digagasnya telah menyimpang ke arah yang destruktif. Orde Baru yang ikut didiri­ kannya (walaupun ia hanya sesaat saja berperan di dalamnya) telah menafsirkan konsep itu dalam peran ganda militer yang sangat represif dan eksesif. Ten­ tara tidak lagi menjadi pembela rakyat, tetapi ber­ main dalam lapangan politik. Selain konsepsi dwifungsi ABRI, ia dikenal seba­ gai peletak dasar perang gerilya. Gagasan perang 1 gerilya dituangkan dalam bukunya yang fenomenal, Strategy of Guerrilla Warfare. Sela;87;4
58;100 Tokoh yang Mengubah Indonesia;ABDULHARIS NASUTION (Jenderal Besar, Konseptor Perang Gerilya dan Dwifungsi ABRI) UTentara yang tidak mendapat dukungan rakyat pasti kalah. Jenderal Besar A.H. Nasution adalah sosok yang tak mungkin dilupakan oleh bangsa ini. Tokoh ini bisa tampil tegar, misalnya dalam mengambil sikap ketika kekuatan komunis Il1.erajalela, tetapi Pak Nas juga bisa menitikkan air mata ketika melepas jenazah tujuh Pahlawan Revolusi di awal Oktober 1965. Pak Nas dikenal sebagai penggagas Dwifungsi ABRL Konsep yang digagasnya telah menyimpang ke arah yang destruktif. Orde Baru yang ikut didiri­ kannya (walaupun ia hanya sesaat saja berperan di dalamnya) telah menafsirkan konsep itu dalam peran ganda militer yang sangat represif dan eksesif. Ten­ tara tidak lagi menjadi pembela rakyat, tetapi ber­ main dalam lapangan politik. Selain konsepsi dwifungsi ABRI, ia dikenal seba­ gai peletak dasar perang gerilya. Gagasan perang 1 gerilya dituangkan dalam bukunya yang fenomenal, Strategy of Guerrilla Warfare. Sela;146;4
58;100 Tokoh yang Mengubah Indonesia;ABDULHARIS NASUTION (Jenderal Besar, Konseptor Perang Gerilya dan Dwifungsi ABRI) UTentara yang tidak mendapat dukungan rakyat pasti kalah. Jenderal Besar A.H. Nasution adalah sosok yang tak mungkin dilupakan oleh bangsa ini. Tokoh ini bisa tampil tegar, misalnya dalam mengambil sikap ketika kekuatan komunis Il1.erajalela, tetapi Pak Nas juga bisa menitikkan air mata ketika melepas jenazah tujuh Pahlawan Revolusi di awal Oktober 1965. Pak Nas dikenal sebagai penggagas Dwifungsi ABRL Konsep yang digagasnya telah menyimpang ke arah yang destruktif. Orde Baru yang ikut didiri­ kannya (walaupun ia hanya sesaat saja berperan di dalamnya) telah menafsirkan konsep itu dalam peran ganda militer yang sangat represif dan eksesif. Ten­ tara tidak lagi menjadi pembela rakyat, tetapi ber­ main dalam lapangan politik. Selain konsepsi dwifungsi ABRI, ia dikenal seba­ gai peletak dasar perang gerilya. Gagasan perang 1 gerilya dituangkan dalam bukunya yang fenomenal, Strategy of Guerrilla Warfare. Sela;145;3
58;100 Tokoh yang Mengubah Indonesia;ABDULHARIS NASUTION (Jenderal Besar, Konseptor Perang Gerilya dan Dwifungsi ABRI) UTentara yang tidak mendapat dukungan rakyat pasti kalah. Jenderal Besar A.H. Nasution adalah sosok yang tak mungkin dilupakan oleh bangsa ini. Tokoh ini bisa tampil tegar, misalnya dalam mengambil sikap ketika kekuatan komunis Il1.erajalela, tetapi Pak Nas juga bisa menitikkan air mata ketika melepas jenazah tujuh Pahlawan Revolusi di awal Oktober 1965. Pak Nas dikenal sebagai penggagas Dwifungsi ABRL Konsep yang digagasnya telah menyimpang ke arah yang destruktif. Orde Baru yang ikut didiri­ kannya (walaupun ia hanya sesaat saja berperan di dalamnya) telah menafsirkan konsep itu dalam peran ganda militer yang sangat represif dan eksesif. Ten­ tara tidak lagi menjadi pembela rakyat, tetapi ber­ main dalam lapangan politik. Selain konsepsi dwifungsi ABRI, ia dikenal seba­ gai peletak dasar perang gerilya. Gagasan perang 1 gerilya dituangkan dalam bukunya yang fenomenal, Strategy of Guerrilla Warfare. Sela;2080;5
58;100 Tokoh yang Mengubah Indonesia;ABDULHARIS NASUTION (Jenderal Besar, Konseptor Perang Gerilya dan Dwifungsi ABRI) UTentara yang tidak mendapat dukungan rakyat pasti kalah. Jenderal Besar A.H. Nasution adalah sosok yang tak mungkin dilupakan oleh bangsa ini. Tokoh ini bisa tampil tegar, misalnya dalam mengambil sikap ketika kekuatan komunis Il1.erajalela, tetapi Pak Nas juga bisa menitikkan air mata ketika melepas jenazah tujuh Pahlawan Revolusi di awal Oktober 1965. Pak Nas dikenal sebagai penggagas Dwifungsi ABRL Konsep yang digagasnya telah menyimpang ke arah yang destruktif. Orde Baru yang ikut didiri­ kannya (walaupun ia hanya sesaat saja berperan di dalamnya) telah menafsirkan konsep itu dalam peran ganda militer yang sangat represif dan eksesif. Ten­ tara tidak lagi menjadi pembela rakyat, tetapi ber­ main dalam lapangan politik. Selain konsepsi dwifungsi ABRI, ia dikenal seba­ gai peletak dasar perang gerilya. Gagasan perang 1 gerilya dituangkan dalam bukunya yang fenomenal, Strategy of Guerrilla Warfare. Sela;2090;5
